t_ms,dt_ms,total_ms,pure_ms,fps,model_px
100,170,153.5,112.0,6.18,320
283,182,153.1,112.0,5.97,320
448,165,153.5,112.0,6.00,320
604,156,153.0,112.0,6.12,320
786,182,153.2,112.0,5.93,320
952,165,154.8,112.0,5.97,320
1152,200,157.0,112.0,5.68,320
1341,189,157.3,112.0,5.56,320
1504,162,158.2,112.0,5.75,320
1699,195,159.8,112.0,5.56,320
1852,152,158.3,112.0,5.87,320
2055,203,160.5,112.0,5.58,320
2243,187,159.9,112.0,5.51,320
2419,176,162.2,112.0,5.56,320
2610,191,164.5,112.0,5.47,320
2828,217,169.5,112.0,5.21,320
3166,337,198.3,112.0,4.54,320
3532,365,226.0,112.0,4.00,320
3893,361,253.0,112.0,3.63,320
4301,407,278.2,112.0,3.28,320
4569,268,270.3,112.0,3.41,320
4809,239,262.8,112.0,3.64,320
5070,261,259.8,112.0,3.70,320
5374,303,261.5,112.0,3.58,320
5654,279,260.2,112.0,3.58,320
5862,208,249.8,112.0,3.95,320
6130,267,251.3,112.0,3.89,320
6368,237,246.4,112.0,3.99,320
6601,233,238.1,112.0,4.08,320
6846,245,234.4,112.0,4.08,320
7112,265,236.7,112.0,3.99,320
7356,244,233.6,112.0,4.02,320
7596,240,231.3,112.0,4.06,320
7827,231,229.4,112.0,4.14,320
8081,253,228.5,112.0,4.09,320
8315,234,224.2,112.0,4.14,320
8506,191,217.5,112.0,4.47,320
8722,215,215.9,112.0,4.52,320
8951,229,216.1,112.0,4.48,320
9217,266,222.6,112.0,4.26,320
9472,254,225.8,112.0,4.16,320
9747,275,227.6,112.0,4.01,320
10006,258,227.2,112.0,3.97,320
10280,273,232.5,112.0,3.88,320
10457,176,221.2,112.0,4.42,320
10624,167,207.1,112.0,4.89,320
10804,180,195.2,112.0,5.09,320
10966,161,184.6,112.0,5.43,320
11172,205,187.0,112.0,5.26,320
11358,186,179.7,112.0,5.30,320
11511,152,173.2,112.0,5.68,320
11685,173,170.4,112.0,5.71,320
11874,189,168.5,112.0,5.58,320
12061,187,165.3,112.0,5.51,320
12223,162,161.7,112.0,5.71,320
12400,176,157.4,112.0,5.70,320
12556,156,154.0,112.0,5.91,320
12712,156,153.0,112.0,6.06,320
12864,152,149.6,112.0,6.22,320
13028,163,149.8,112.0,6.19,320
13202,173,148.0,112.0,6.07,320
13359,157,145.1,112.0,6.16,320
13535,175,146.8,112.0,6.03,320
13704,169,145.6,112.0,5.99,320
13882,178,147.6,112.0,5.88,320
14069,187,149.3,112.0,5.72,320
14216,146,147.7,112.0,6.06,320
14372,155,148.3,112.0,6.18,320
14533,161,150.8,112.0,6.19,320
14729,196,153.2,112.0,5.86,320
14935,206,156.4,112.0,5.56,320
15128,192,157.5,112.0,5.45,320
15324,195,157.6,112.0,5.36,320
15525,201,157.6,112.0,5.24,320
15691,165,159.1,112.0,5.49,320
15869,178,157.4,112.0,5.53,320
16041,171,159.2,112.0,5.62,320
16219,178,157.4,112.0,5.62,320
16379,159,156.7,112.0,5.82,320
16574,195,156.3,112.0,5.61,320
16722,148,153.6,112.0,5.96,320
16872,149,151.9,112.0,6.18,320
17047,174,153.0,112.0,6.05,320
17229,181,153.6,112.0,5.89,320
17391,162,154.1,112.0,5.98,320
17571,180,153.2,112.0,5.85,320
17732,160,152.3,112.0,5.97,320
17890,158,153.5,112.0,6.08,320
18072,181,152.4,112.0,5.91,320
18223,150,150.9,112.0,6.14,320
18394,170,153.1,112.0,6.06,320
18566,172,150.9,112.0,5.99,320
18724,157,149.4,112.0,6.10,320
18888,164,151.0,112.0,6.10,320
19063,174,147.9,112.0,5.99,320
19231,168,148.5,112.0,5.98,320
19386,154,148.7,112.0,6.14,320
19546,160,151.0,112.0,6.17,320
19729,182,150.9,112.0,5.97,320
19897,168,152.8,112.0,5.96,320
20092,194,154.7,112.0,5.72,320
20290,198,155.9,112.0,5.52,320
20440,150,154.7,112.0,5.86,320
20580,139,151.7,112.0,6.26,320
20747,167,153.7,112.0,6.18,320
20920,172,151.0,112.0,6.07,320
21068,147,147.7,112.0,6.29,320
21240,171,149.3,112.0,6.16,320
21378,137,147.0,112.0,6.50,320
21539,161,148.4,112.0,6.41,320
21714,174,151.1,112.0,6.21,320
21894,179,152.2,112.0,6.03,320
22035,141,149.9,112.0,6.35,320
22201,165,152.0,112.0,6.26,320
22399,198,154.3,112.0,5.90,320
22575,175,151.6,112.0,5.84,320
22745,169,152.4,112.0,5.86,320
22903,158,151.6,112.0,6.00,320
23076,172,149.4,112.0,5.95,320
23260,183,152.1,112.0,5.80,320
23452,192,154.5,112.0,5.62,320
23649,197,156.0,112.0,5.46,320
23849,199,156.9,112.0,5.33,320
24006,157,157.0,112.0,5.64,320
24181,175,154.4,112.0,5.66,320
24349,168,155.1,112.0,5.75,320
24500,150,154.2,112.0,6.02,320
24659,158,155.0,112.0,6.12,320
24863,204,158.4,112.0,5.75,320
25030,166,154.5,112.0,5.83,320
25193,163,152.8,112.0,5.92,320
25344,151,151.5,112.0,6.13,320
25511,167,151.9,112.0,6.09,320
25684,172,150.0,112.0,6.01,320
25831,147,147.2,112.0,6.25,320
25994,163,147.5,112.0,6.21,320
26160,165,150.1,112.0,6.17,320
26352,192,151.9,112.0,5.88,320
26553,200,153.3,112.0,5.62,320
26709,156,153.8,112.0,5.85,320
26900,191,154.4,112.0,5.67,320
27069,168,156.0,112.0,5.75,320
27246,177,154.8,112.0,5.72,320
27403,157,154.0,112.0,5.92,320
27607,203,155.4,112.0,5.62,320
27818,210,157.7,112.0,5.36,320
27996,178,156.0,112.0,5.44,320
28164,167,157.3,112.0,5.60,320
28346,181,155.4,112.0,5.58,320
28512,165,155.6,112.0,5.72,320
28694,182,153.3,112.0,5.66,320
28841,147,149.9,112.0,6.00,320
28996,155,149.0,112.0,6.14,320
29177,180,150.9,112.0,5.96,320
29359,182,151.7,112.0,5.82,320
29519,159,151.6,112.0,5.96,320
29714,194,153.6,112.0,5.72,320
29882,168,155.6,112.0,5.79,320
30055,172,154.9,112.0,5.80,320
30218,162,153.4,112.0,5.91,320
30364,146,152.0,112.0,6.19,320
30555,191,151.9,112.0,5.90,320
30728,172,154.8,112.0,5.88,320
30913,185,154.8,112.0,5.74,320
31105,191,154.1,112.0,5.59,320
31274,168,153.6,112.0,5.70,320
31456,181,152.9,112.0,5.64,320
