t_ms,dt_ms,total_ms,pure_ms,fps,model_px
34,840,853.8,716.6,1.21,800
828,793,836.9,716.6,1.23,800
1625,796,823.9,716.6,1.23,800
2515,890,831.0,716.6,1.20,800
3294,779,819.2,716.6,1.23,800
4085,791,808.8,716.6,1.24,800
4855,769,797.0,716.6,1.26,800
5691,836,803.4,716.6,1.24,800
6657,965,835.7,716.6,1.18,800
7658,1001,863.5,716.6,1.12,800
8497,838,856.2,716.6,1.14,800
9265,767,833.3,716.6,1.19,800
10098,833,831.2,716.6,1.19,800
10979,881,835.9,716.6,1.18,800
11862,883,844.3,716.6,1.16,800
12709,847,843.7,716.6,1.17,800
13614,904,850.4,716.6,1.15,800
14536,922,860.7,716.6,1.13,800
15415,879,863.3,716.6,1.13,800
16258,842,854.9,716.6,1.15,800
17044,786,837.2,716.6,1.19,800
17831,786,818.4,716.6,1.21,800
18617,786,810.4,716.6,1.23,800
19440,822,810.2,716.6,1.23,800
20315,875,819.9,716.6,1.20,800
21247,932,835.1,716.6,1.16,800
22278,1030,872.3,716.6,1.11,800
23284,1006,896.4,716.6,1.07,800
24268,984,910.4,716.6,1.06,800
25091,823,892.8,716.6,1.10,800
25928,836,879.5,716.6,1.13,800
26761,832,866.6,716.6,1.15,800
27553,792,850.7,716.6,1.19,800
28343,789,833.0,716.6,1.21,800
29136,793,821.0,716.6,1.23,800
29926,790,810.0,716.6,1.24,800
30830,904,820.4,716.6,1.20,800
31797,966,843.7,716.6,1.15,800
32837,1040,880.9,716.6,1.09,800
33701,864,875.7,716.6,1.11,800
34527,825,861.7,716.6,1.14,800
35369,842,855.8,716.6,1.16,800
36287,918,865.0,716.6,1.14,800
37227,940,879.9,716.6,1.11,800
38107,879,877.0,716.6,1.12,800
