t_ms,dt_ms,total_ms,pure_ms,fps,model_px
37,273,254.3,205.1,3.72,640
284,246,251.2,205.1,3.83,640
531,247,249.0,205.1,3.89,640
816,284,252.5,205.1,3.78,640
1113,297,259.0,205.1,3.66,640
1399,285,260.4,205.1,3.61,640
1730,330,263.3,205.1,3.44,640
2055,325,268.0,205.1,3.33,640
2336,280,266.7,205.1,3.40,640
2625,288,266.0,205.1,3.42,640
2944,319,273.8,205.1,3.34,640
3207,262,269.8,205.1,3.48,640
3467,259,265.4,205.1,3.59,640
3731,263,263.8,205.1,3.66,640
3997,266,262.8,205.1,3.69,640
4242,245,257.3,205.1,3.81,640
4491,249,254.0,205.1,3.87,640
4748,256,252.8,205.1,3.88,640
5018,270,251.4,205.1,3.83,640
5272,253,249.4,205.1,3.86,640
5517,245,246.8,205.1,3.93,640
5775,257,246.2,205.1,3.92,640
6026,251,245.1,205.1,3.94,640
6267,241,242.8,205.1,4.00,640
6530,262,243.8,205.1,3.95,640
6773,242,242.3,205.1,4.00,640
7014,241,240.9,205.1,4.05,640
7262,247,239.3,205.1,4.05,640
7516,254,240.5,205.1,4.01,640
7749,232,237.4,205.1,4.10,640
8005,256,238.0,205.1,4.04,640
8249,244,237.0,205.1,4.06,640
8481,231,234.6,205.1,4.14,640
8738,256,235.3,205.1,4.07,640
8986,248,236.6,205.1,4.06,640
9234,248,237.4,205.1,4.05,640
9488,254,239.4,205.1,4.02,640
9720,231,236.4,205.1,4.11,640
9977,257,237.0,205.1,4.04,640
10233,256,238.7,205.1,4.00,640
10482,248,238.5,205.1,4.01,640
10723,240,237.8,205.1,4.06,640
10972,248,238.5,205.1,4.05,640
11221,249,239.5,205.1,4.04,640
11464,242,238.5,205.1,4.07,640
11713,249,237.8,205.1,4.05,640
11949,235,237.1,205.1,4.11,640
12193,244,236.4,205.1,4.11,640
12454,260,237.5,205.1,4.03,640
12695,241,237.1,205.1,4.07,640
12935,240,236.1,205.1,4.10,640
13194,258,238.4,205.1,4.03,640
13440,246,238.6,205.1,4.04,640
13679,239,237.6,205.1,4.08,640
13924,245,237.7,205.1,4.08,640
14164,239,236.9,205.1,4.11,640
14411,247,237.8,205.1,4.09,640
14659,247,237.6,205.1,4.08,640
14888,229,234.4,205.1,4.17,640
15122,233,231.1,205.1,4.20,640
15381,258,233.6,205.1,4.11,640
15625,244,233.3,205.1,4.10,640
15881,256,235.8,205.1,4.04,640
16125,243,236.1,205.1,4.07,640
16368,243,236.4,205.1,4.08,640
16614,246,237.1,205.1,4.08,640
16871,256,239.8,205.1,4.02,640
17106,234,236.3,205.1,4.10,640
17361,255,237.3,205.1,4.05,640
17607,246,236.4,205.1,4.05,640
17869,261,238.4,205.1,3.99,640
18121,251,239.6,205.1,3.99,640
18380,259,242.3,205.1,3.95,640
18643,263,244.0,205.1,3.90,640
18916,272,246.7,205.1,3.84,640
19175,259,247.4,205.1,3.84,640
19459,283,253.1,205.1,3.75,640
19731,271,254.5,205.1,3.73,640
20004,273,250.7,205.1,3.71,640
20280,275,252.2,205.1,3.69,640
20537,256,251.3,205.1,3.75,640
20783,245,248.8,205.1,3.85,640
21030,247,246.5,205.1,3.91,640
21277,246,243.2,205.1,3.96,640
21520,243,241.7,205.1,4.00,640
21765,244,240.3,205.1,4.03,640
22027,262,241.0,205.1,3.97,640
22270,242,239.8,205.1,4.02,640
22503,233,237.3,205.1,4.10,640
22757,253,238.1,205.1,4.06,640
23006,248,238.4,205.1,4.05,640
23263,257,240.1,205.1,4.00,640
23516,252,240.3,205.1,3.99,640
23762,246,239.1,205.1,4.01,640
24028,266,242.9,205.1,3.94,640
24265,236,240.5,205.1,4.03,640
24534,269,243.9,205.1,3.93,640
24786,251,243.3,205.1,3.95,640
25051,264,246.2,205.1,3.90,640
25328,276,250.3,205.1,3.82,640
25634,306,256.9,205.1,3.65,640
25991,357,274.0,205.1,3.40,640
26279,288,270.1,205.1,3.42,640
26565,285,267.7,205.1,3.45,640
26828,262,264.7,205.1,3.56,640
27073,245,259.6,205.1,3.71,640
27326,252,256.9,205.1,3.79,640
27574,247,253.0,205.1,3.87,640
27818,244,249.3,205.1,3.94,640
28074,255,248.4,205.1,3.93,640
28330,255,247.8,205.1,3.93,640
28559,229,242.0,205.1,4.06,640
28803,244,240.4,205.1,4.07,640
29035,231,236.7,205.1,4.15,640
29268,233,233.3,205.1,4.19,640
29525,256,235.2,205.1,4.11,640
