t_ms,dt_ms,total_ms,pure_ms,fps,model_px
89,97,76.2,61.2,10.85,320
168,78,75.3,61.2,11.44,320
266,97,77.1,61.2,11.10,320
339,73,76.3,61.2,11.88,320
418,78,75.2,61.2,12.16,320
505,86,76.1,61.2,12.00,320
606,101,77.5,61.2,11.37,320
676,69,75.8,61.2,12.31,320
773,97,77.3,61.2,11.71,320
859,85,78.8,61.2,11.73,320
935,75,78.2,61.2,12.21,320
1009,74,76.1,61.2,12.60,320
1101,92,76.0,61.2,12.08,320
1192,90,77.2,61.2,11.79,320
1276,84,76.0,61.2,11.82,320
1372,95,77.4,61.2,11.43,320
1453,81,78.1,61.2,11.71,320
1547,93,78.6,61.2,11.42,320
1624,76,78.2,61.2,11.94,320
1700,76,77.7,61.2,12.31,320
1785,84,78.1,61.2,12.19,320
1859,74,77.2,61.2,12.58,320
1939,79,76.1,61.2,12.61,320
2022,82,76.3,61.2,12.48,320
2106,84,75.3,61.2,12.31,320
2172,65,72.2,61.2,13.23,320
2267,95,73.3,61.2,12.42,320
2359,92,74.5,61.2,11.96,320
2440,81,75.7,61.2,12.07,320
2538,97,77.4,61.2,11.54,320
2614,75,77.0,61.2,12.08,320
2701,87,77.7,61.2,11.90,320
2782,81,76.8,61.2,12.04,320
2869,86,77.3,61.2,11.91,320
2951,82,77.1,61.2,12.00,320
3039,87,77.4,61.2,11.85,320
3114,75,77.0,61.2,12.29,320
3199,84,77.3,61.2,12.18,320
3260,60,73.9,61.2,13.52,320
3349,89,75.5,61.2,12.84,320
3426,77,75.8,61.2,12.88,320
3520,93,76.4,61.2,12.24,320
3589,68,73.5,61.2,12.98,320
3685,96,74.1,61.2,12.21,320
3776,91,76.2,61.2,11.85,320
3854,77,75.0,61.2,12.19,320
3936,82,75.1,61.2,12.19,320
4009,73,74.6,61.2,12.64,320
4095,85,75.3,61.2,12.38,320
4173,78,75.9,61.2,12.51,320
4249,75,72.6,61.2,12.76,320
4334,85,72.6,61.2,12.46,320
4426,91,73.8,61.2,12.02,320
4501,74,73.9,61.2,12.47,320
4589,88,75.4,61.2,12.14,320
4658,68,72.4,61.2,12.91,320
4754,95,73.3,61.2,12.19,320
4838,84,74.2,61.2,12.11,320
4911,72,72.4,61.2,12.64,320
4998,87,72.6,61.2,12.30,320
5081,82,73.6,61.2,12.27,320
5156,74,73.8,61.2,12.64,320
5241,85,74.9,61.2,12.38,320
5322,80,74.3,61.2,12.41,320
5403,81,74.4,61.2,12.39,320
5490,86,75.4,61.2,12.16,320
5563,72,73.4,61.2,12.68,320
5655,92,73.6,61.2,12.14,320
5741,86,74.9,61.2,11.98,320
5819,77,74.1,61.2,12.29,320
5901,82,73.9,61.2,12.26,320
5985,83,74.1,61.2,12.20,320
6072,86,73.7,61.2,12.03,320
6154,81,73.9,61.2,12.12,320
6231,77,72.9,61.2,12.38,320
6320,89,74.6,61.2,12.04,320
6388,68,73.2,61.2,12.84,320
6478,89,75.1,61.2,12.36,320
6551,72,74.6,61.2,12.82,320
6626,75,73.6,61.2,12.97,320
6715,89,74.0,61.2,12.45,320
6801,85,74.9,61.2,12.25,320
6879,78,74.2,61.2,12.42,320
6968,88,75.3,61.2,12.10,320
7031,63,72.8,61.2,13.23,320
7124,92,73.1,61.2,12.52,320
7210,85,74.1,61.2,12.30,320
7277,67,72.7,61.2,13.08,320
7359,81,73.0,61.2,12.86,320
7436,77,72.4,61.2,12.90,320
7523,87,74.0,61.2,12.48,320
7608,84,73.5,61.2,12.31,320
7687,79,73.5,61.2,12.41,320
7763,75,73.9,61.2,12.69,320
7846,83,73.4,61.2,12.50,320
7933,86,74.7,61.2,12.24,320
8012,78,74.0,61.2,12.41,320
8086,73,72.9,61.2,12.80,320
8173,86,72.7,61.2,12.45,320
8260,87,74.0,61.2,12.16,320
8363,102,73.4,61.2,11.45,320
8454,90,75.1,61.2,11.35,320
8528,73,74.8,61.2,12.06,320
8601,73,73.2,61.2,12.55,320
8696,94,73.8,61.2,11.98,320
8772,76,71.6,61.2,12.33,320
8867,94,73.6,61.2,11.82,320
8946,78,73.2,61.2,12.12,320
9024,78,73.1,61.2,12.33,320
9107,83,73.0,61.2,12.25,320
9201,93,74.6,61.2,11.80,320
9268,67,73.1,61.2,12.74,320
9368,99,74.6,61.2,11.95,320
9448,79,75.6,61.2,12.16,320
9530,82,74.9,61.2,12.17,320
9620,89,76.7,61.2,11.89,320
9683,63,73.9,61.2,13.08,320
9769,86,73.8,61.2,12.65,320
9856,87,75.3,61.2,12.30,320
9931,74,75.1,61.2,12.67,320
10019,88,76.3,61.2,12.27,320
10094,74,75.9,61.2,12.65,320
10170,76,73.6,61.2,12.80,320
10260,90,74.5,61.2,12.29,320
10348,87,73.9,61.2,12.05,320
10413,64,71.0,61.2,13.12,320
10505,91,71.4,61.2,12.48,320
10594,89,72.6,61.2,12.11,320
10674,79,74.0,61.2,12.27,320
10749,75,74.1,61.2,12.59,320
10828,78,73.8,61.2,12.66,320
10913,84,74.7,61.2,12.43,320
11003,90,76.0,61.2,12.04,320
11076,72,75.3,61.2,12.59,320
11156,79,75.0,61.2,12.61,320
11228,71,74.3,61.2,13.05,320
11318,90,75.1,61.2,12.47,320
11396,78,75.7,61.2,12.58,320
11488,91,76.8,61.2,12.10,320
11561,73,76.1,61.2,12.58,320
11642,80,76.0,61.2,12.56,320
11724,82,77.2,61.2,12.45,320
11802,77,77.3,61.2,12.61,320
11890,87,77.0,61.2,12.27,320
11976,85,77.6,61.2,12.12,320
12048,72,76.5,61.2,12.65,320
12130,82,75.6,61.2,12.51,320
12214,83,76.0,61.2,12.37,320
12297,83,75.2,61.2,12.28,320
12383,85,76.0,61.2,12.12,320
12456,73,75.4,61.2,12.60,320
12545,89,75.9,61.2,12.19,320
12625,79,76.6,61.2,12.33,320
12727,101,77.9,61.2,11.60,320
12796,69,76.1,61.2,12.47,320
12893,96,76.8,61.2,11.85,320
12972,79,77.2,61.2,12.09,320
13055,83,76.1,61.2,12.08,320
13145,90,77.6,61.2,11.79,320
13215,69,76.0,61.2,12.60,320
13307,92,76.5,61.2,12.08,320
13386,79,77.0,61.2,12.25,320
13475,88,77.0,61.2,11.99,320
13549,74,75.1,61.2,12.45,320
13629,80,74.6,61.2,12.46,320
13716,86,75.5,61.2,12.21,320
13797,81,76.5,61.2,12.25,320
13874,77,75.2,61.2,12.47,320
13964,89,76.7,61.2,12.10,320
14033,68,75.0,61.2,12.88,320
14126,93,75.9,61.2,12.24,320
14206,80,76.7,61.2,12.32,320
14297,90,77.1,61.2,11.96,320
14376,78,77.3,61.2,12.22,320
14454,78,74.9,61.2,12.40,320
14550,96,76.4,61.2,11.80,320
14643,93,76.5,61.2,11.49,320
14721,77,76.7,61.2,11.94,320
14821,99,78.4,61.2,11.39,320
14893,72,77.2,61.2,12.14,320
14968,74,76.7,61.2,12.55,320
15060,91,77.0,61.2,12.08,320
15122,61,73.8,61.2,13.38,320
15220,98,75.1,61.2,12.42,320
15305,84,75.9,61.2,12.27,320
15380,75,75.8,61.2,12.59,320
15466,86,76.3,61.2,12.30,320
15541,74,75.9,61.2,12.66,320
15614,73,75.3,61.2,12.97,320
15703,89,76.8,61.2,12.45,320
15784,80,77.6,61.2,12.47,320
15868,83,76.1,61.2,12.34,320
15947,78,75.4,61.2,12.49,320
16047,100,75.6,61.2,11.74,320
16119,71,74.8,61.2,12.44,320
16199,80,74.2,61.2,12.46,320
16289,90,75.9,61.2,12.06,320
16356,67,74.1,61.2,12.92,320
16437,81,73.7,61.2,12.75,320
16523,86,74.6,61.2,12.41,320
16602,78,75.3,61.2,12.53,320
16669,66,72.2,61.2,13.32,320
16765,96,73.7,61.2,12.45,320
16838,73,73.5,61.2,12.82,320
16931,93,74.6,61.2,12.20,320
17009,78,75.2,61.2,12.39,320
17099,90,75.9,61.2,12.00,320
17177,77,76.2,61.2,12.30,320
17264,86,75.6,61.2,12.10,320
17344,79,74.9,61.2,12.27,320
17423,79,74.5,61.2,12.38,320
17516,93,75.1,61.2,11.89,320
17595,79,75.8,61.2,12.12,320
17668,72,75.1,61.2,12.65,320
17753,84,75.5,61.2,12.43,320
17837,84,75.2,61.2,12.27,320
17926,89,76.4,61.2,11.96,320
17997,71,75.2,61.2,12.60,320
18085,87,75.6,61.2,12.27,320
18161,75,74.3,61.2,12.59,320
18249,88,75.6,61.2,12.22,320
18345,95,77.4,61.2,11.71,320
18448,102,79.1,61.2,11.14,320
18525,77,78.7,61.2,11.69,320
18601,75,78.0,61.2,12.19,320
18686,85,78.1,61.2,12.06,320
18756,69,76.3,61.2,12.79,320
18838,82,75.8,61.2,12.61,320
18924,85,76.5,61.2,12.36,320
18999,75,76.3,61.2,12.65,320
19086,86,75.2,61.2,12.34,320
19170,84,75.7,61.2,12.21,320
19247,76,74.5,61.2,12.50,320
19324,77,73.9,61.2,12.64,320
19409,85,74.8,61.2,12.38,320
19492,83,73.8,61.2,12.28,320
19574,81,74.1,61.2,12.30,320
19647,73,73.8,61.2,12.72,320
19731,84,74.6,61.2,12.48,320
19811,79,75.5,61.2,12.53,320
19905,93,76.1,61.2,12.00,320
19975,70,74.8,61.2,12.68,320
20057,82,74.8,61.2,12.54,320
20129,71,72.8,61.2,13.00,320
20223,94,74.2,61.2,12.29,320
20320,96,75.2,61.2,11.73,320
20392,72,74.5,61.2,12.38,320
20465,73,72.7,61.2,12.77,320
20557,92,73.1,61.2,12.20,320
20639,82,72.6,61.2,12.20,320
20706,66,70.1,61.2,13.09,320
20791,85,70.7,61.2,12.69,320
20868,77,69.6,61.2,12.78,320
20959,90,71.3,61.2,12.28,320
21043,84,71.5,61.2,12.17,320
21129,85,73.0,61.2,12.05,320
21202,73,73.0,61.2,12.54,320
21292,90,73.8,61.2,12.11,320
21367,74,74.0,61.2,12.53,320
21447,80,75.1,61.2,12.52,320
21537,90,75.8,61.2,12.10,320
21611,73,75.3,61.2,12.58,320
21684,73,72.5,61.2,12.92,320
21783,98,74.1,61.2,12.10,320
21869,85,75.0,61.2,12.00,320
21942,73,72.2,61.2,12.51,320
22033,90,72.2,61.2,12.09,320
22119,86,73.4,61.2,11.95,320
22195,75,73.8,61.2,12.37,320
22277,82,73.2,61.2,12.31,320
22364,86,74.7,61.2,12.11,320
22462,97,75.6,61.2,11.57,320
22538,76,75.8,61.2,12.05,320
22624,85,74.8,61.2,11.96,320
22692,67,71.8,61.2,12.85,320
22783,91,73.3,61.2,12.29,320
22870,86,74.2,61.2,12.09,320
22948,78,74.9,61.2,12.31,320
23016,67,73.5,61.2,13.10,320
23113,96,74.5,61.2,12.29,320
23189,76,74.7,61.2,12.55,320
23255,66,72.9,61.2,13.33,320
23350,94,73.9,61.2,12.52,320
23411,61,71.3,61.2,13.68,320
23507,95,72.4,61.2,12.74,320
23595,88,72.9,61.2,12.33,320
23677,82,72.4,61.2,12.29,320
23765,87,73.7,61.2,12.05,320
23839,73,73.7,61.2,12.54,320
23915,76,73.0,61.2,12.73,320
24000,84,74.2,61.2,12.48,320
24065,64,72.2,61.2,13.42,320
24160,95,73.5,61.2,12.55,320
24239,79,74.6,61.2,12.59,320
24313,73,71.5,61.2,12.92,320
24407,93,72.5,61.2,12.27,320
24502,95,73.8,61.2,11.75,320
24577,74,74.0,61.2,12.28,320
24660,83,74.7,61.2,12.21,320
24749,89,74.9,61.2,11.92,320
24819,69,72.1,61.2,12.69,320
24906,87,72.4,61.2,12.33,320
24983,77,71.0,61.2,12.53,320
25072,88,72.2,61.2,12.18,320
25155,82,72.0,61.2,12.18,320
25238,82,73.2,61.2,12.19,320
25299,61,70.7,61.2,13.45,320
25402,102,73.7,61.2,12.36,320
25480,78,74.6,61.2,12.49,320
25564,83,73.9,61.2,12.36,320
25648,84,74.6,61.2,12.22,320
25730,82,76.1,61.2,12.22,320
25806,75,75.9,61.2,12.55,320
25897,91,76.7,61.2,12.08,320
25988,90,77.3,61.2,11.79,320
26063,74,76.7,61.2,12.31,320
26143,80,76.4,61.2,12.37,320
26212,68,74.7,61.2,13.07,320
26305,92,75.6,61.2,12.41,320
26392,87,76.7,61.2,12.13,320
26460,67,74.8,61.2,12.97,320
26544,84,73.7,61.2,12.65,320
26632,88,75.0,61.2,12.27,320
26705,72,74.5,61.2,12.75,320
26776,71,71.5,61.2,13.15,320
26867,91,71.9,61.2,12.50,320
26961,93,74.3,61.2,11.98,320
27046,85,75.1,61.2,11.91,320
27120,73,74.8,61.2,12.45,320
27195,74,73.2,61.2,12.77,320
27277,81,73.4,61.2,12.64,320
27357,80,73.4,61.2,12.60,320
27448,91,74.6,61.2,12.12,320
27523,74,74.5,61.2,12.54,320
27609,86,74.4,61.2,12.26,320
27698,89,75.0,61.2,11.95,320
27798,99,77.2,61.2,11.40,320
27876,77,77.2,61.2,11.88,320
27965,89,78.0,61.2,11.68,320
28036,71,74.5,61.2,12.40,320
28133,96,75.6,61.2,11.81,320
28208,75,75.4,61.2,12.27,320
28291,83,75.0,61.2,12.20,320
28378,86,75.9,61.2,12.03,320
28462,84,75.4,61.2,11.99,320
28534,72,73.5,61.2,12.56,320
28614,79,73.3,61.2,12.59,320
28688,74,70.6,61.2,12.87,320
28782,93,72.0,61.2,12.23,320
28877,95,73.4,61.2,11.72,320
28945,67,72.2,61.2,12.68,320
29027,82,72.7,61.2,12.54,320
29111,84,73.4,61.2,12.35,320
29171,60,70.7,61.2,13.64,320
29262,90,71.2,61.2,12.88,320
29349,86,72.9,61.2,12.51,320
29409,60,70.4,61.2,13.75,320
29500,90,70.7,61.2,12.96,320
29586,86,72.4,61.2,12.56,320
29662,75,73.0,61.2,12.79,320
29745,83,72.8,61.2,12.57,320
29830,85,74.0,61.2,12.33,320
29893,63,71.8,61.2,13.39,320
29987,94,73.0,61.2,12.57,320
30065,77,73.8,61.2,12.69,320
30143,78,72.0,61.2,12.73,320
30232,89,73.1,61.2,12.28,320
30299,67,71.8,61.2,13.08,320
30384,84,72.1,61.2,12.72,320
30471,86,73.8,61.2,12.40,320
30539,68,72.6,61.2,13.09,320
30633,94,74.0,61.2,12.35,320
30705,72,73.6,61.2,12.81,320
30790,85,74.0,61.2,12.50,320
30866,75,72.8,61.2,12.75,320
30959,92,72.4,61.2,12.19,320
31036,77,72.0,61.2,12.43,320
31118,81,72.7,61.2,12.40,320
