t_ms,dt_ms,total_ms,pure_ms,fps,model_px
57,417,401.0,353.9,2.41,800
511,454,410.4,353.9,2.34,800
922,411,408.4,353.9,2.37,800
1335,413,407.9,353.9,2.39,800
1761,425,408.4,353.9,2.38,800
2174,413,408.0,353.9,2.39,800
2596,421,408.8,353.9,2.39,800
3013,417,409.3,353.9,2.39,800
3441,427,411.6,353.9,2.38,800
3853,412,409.7,353.9,2.39,800
4278,424,410.6,353.9,2.38,800
4689,411,409.4,353.9,2.40,800
5107,417,408.8,353.9,2.40,800
5512,404,406.2,353.9,2.42,800
5912,400,402.8,353.9,2.44,800
6320,408,401.4,353.9,2.45,800
6735,414,400.9,353.9,2.44,800
7157,422,401.8,353.9,2.42,800
7583,426,403.3,353.9,2.40,800
7996,412,402.6,353.9,2.41,800
8414,417,403.5,353.9,2.40,800
8817,403,401.5,353.9,2.43,800
9222,404,399.2,353.9,2.44,800
9646,424,401.3,353.9,2.42,800
10079,432,404.7,353.9,2.39,800
10481,402,402.9,353.9,2.42,800
10891,410,403.0,353.9,2.42,800
11304,413,403.2,353.9,2.42,800
11717,412,402.8,353.9,2.42,800
12109,392,399.3,353.9,2.46,800
12529,419,399.9,353.9,2.44,800
12945,415,400.9,353.9,2.43,800
13365,420,403.0,353.9,2.42,800
13780,414,403.3,353.9,2.42,800
14192,412,403.2,353.9,2.42,800
14606,413,402.8,353.9,2.42,800
14998,392,399.4,353.9,2.46,800
15419,420,400.9,353.9,2.44,800
15830,410,400.8,353.9,2.44,800
16224,394,397.9,353.9,2.47,800
16637,413,398.6,353.9,2.45,800
17030,392,395.6,353.9,2.48,800
17457,427,399.1,353.9,2.44,800
17866,408,399.2,353.9,2.44,800
18279,412,399.1,353.9,2.44,800
18690,411,399.9,353.9,2.44,800
19111,421,401.6,353.9,2.42,800
19524,413,402.3,353.9,2.42,800
19937,413,402.6,353.9,2.42,800
20351,413,402.1,353.9,2.42,800
20777,425,405.7,353.9,2.40,800
21210,433,408.8,353.9,2.37,800
21638,428,409.0,353.9,2.36,800
22059,420,409.1,353.9,2.37,800
22471,412,408.1,353.9,2.39,800
22886,414,408.3,353.9,2.39,800
23299,413,407.3,353.9,2.40,800
23724,425,408.9,353.9,2.39,800
24126,401,406.2,353.9,2.42,800
24533,407,404.9,353.9,2.43,800
24932,399,401.1,353.9,2.45,800
25353,421,401.7,353.9,2.43,800
25762,409,401.1,353.9,2.43,800
26181,418,402.8,353.9,2.42,800
26606,424,405.0,353.9,2.40,800
27039,432,407.3,353.9,2.38,800
27442,403,404.0,353.9,2.41,800
27877,435,407.5,353.9,2.38,800
28316,438,411.3,353.9,2.35,800
28734,417,410.5,353.9,2.36,800
29143,409,408.5,353.9,2.39,800
29561,417,405.7,353.9,2.39,800
29974,412,404.5,353.9,2.40,800
30395,421,404.5,353.9,2.39,800
30808,413,403.0,353.9,2.40,800
31216,407,402.7,353.9,2.42,800
31621,405,400.7,353.9,2.43,800
32037,416,401.2,353.9,2.42,800
