model,pc_map50,gpu_map50,cpu_map50,pc_map5095,gpu_map5095,cpu_map5095
native320,0.336214519902374,0.33120130707667766,0.32846219981549796,0.1838622108642934,0.18413460362652354,0.18396902440555313
native640,0.598604192388207,0.5984121255587838,0.5989008872422775,0.3743086976973824,0.3700428374440988,0.3737739605289583
native800,0.6780069289899153,0.6789230984884906,0.6796889668177878,0.4572355922198036,0.4568740246664437,0.45736895681953926
800@320,0.24442917268638192,0.2443037641362326,0.24419054518451816,0.13149877410185778,0.13028466841917058,0.13182508445381785
800@640,0.6296247166600973,0.631798296278447,0.6341875553221188,0.4059562320358303,0.406601918696308,0.41036700707451457
